,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2009-09-08,1.0784,1679.323,29046.75,0.9359,0.3925,1.267,0.551,71.1,995.5,293.45,0.30188,0.224,77.323,92.33
2009-09-09,1.0785,1692.48,28773.15,0.9198,0.3751,1.251,0.554,71.31,992.3,290.6,0.29869,0.224,77.09,92.04
2009-09-10,1.0772,1710.136,29179.09,0.8797,0.366,1.212,0.541,71.94,996.6,285.95,0.29969,0.208,76.817,91.73
2009-09-11,1.0768,1708.187,29454.8,0.9033,0.3649,1.204,0.534,69.29,1005.3,282.75,0.299,0.219,76.608,90.71
2009-09-14,1.0827,1719.044,29661.76,0.9193,0.3588,1.229,0.531,68.86,1000.2,278.7,0.295,0.22,76.695,90.94
2009-09-15,1.0724,1724.448,30090.66,0.9353,0.3588,1.242,0.535,70.93,1007.55,282.85,0.29338,0.217,76.544,91.05
2009-09-16,1.0659,1750.914,30247.42,0.9838,0.3456,1.287,0.543,72.51,1017.08,292.05,0.29188,0.252,76.236,90.93
2009-09-17,1.0646,1745.798,30176.1,0.9351,0.3405,1.271,0.538,72.47,1013.63,288,0.29188,0.247,76.188,91.08
2009-09-18,1.0692,1750.427,29962.18,0.9918,0.3608,1.285,0.538,72.04,1007.47,277.1,0.28938,0.24,76.425,91.29
2009-09-21,1.0791,1744.47,29907.21,0.9836,0.3547,1.282,0.538,69.71,1003.7,279.25,0.28938,0.241,76.776,91.93
2009-09-22,1.0692,1755.993,30331.41,0.951,0.3619,1.283,0.543,71.55,1014.4,285.25,0.28563,0.252,76.118,91.1
2009-09-23,1.0745,1738.316,30154.69,0.9605,0.3966,1.281,0.533,68.97,1008.28,279.65,0.285,0.256,76.047,91.29
2009-09-24,1.0892,1722.019,29557.27,0.9368,0.3854,1.276,0.533,65.89,993.93,269.95,0.28313,0.256,76.9,91.28
